content_id,시설명,카테고리1,카테고리2,카테고리3,시도 명칭,시군구 명칭,법정읍면동명칭,리 명칭,번지,도로명 이름,건물 번호,위도,경도,우편번호,도로명주소,지번주소,전화번호,홈페이지,휴무일,운영시간,주차 가능여부,입장(이용료)가격 정보,반려동물 동반 가능정보,반려동물 전용 정보,입장 가능 동물 크기,반려동물 제한사항,장소(실내) 여부,장소(실외)여부,기본 정보_장소설명,애견 동반 추가 요금,최종작성일,장소설명,공간크기,분위기,혼잡도,편의시설,자연환경,접근성
0951ba8ab22b9e8d8fbd,21세기 동규약국,반려동물업,반려의료,동물약국,경기도,오산시,오산동,,880-21 번지,대원로,1 번,37.146604,127.068648,18138.0,경기도 오산시 대원로 1,경기도 오산시 오산동 880-21,031-374-2943,정보없음,연중무휴,"월~금 08:30~21:00, 토 08:30~21:00, 일 12:00~21:00, 법정공휴일 12:00~21:00",N,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,동물약국,없음,2022-11-30,,,,,,,
0decc45fe81d684a1ffb,21세기 동물병원,반려동물업,반려의료,동물병원,전라북도,전주시 덕진구,송천2동,,626-42 번지,시천로,26 번,35.86154545,127.114938,54833.0,전라북도 전주시 덕진구 시천로 26,전라북도 전주시 덕진구 송천동1가 626-42,063-251-1015,정보없음,정보없음,정보없음,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,2025-03-24,,,,,,,
ee80e2bc7f155ae84adc,21세기 세계로약국,반려동물업,반려의료,동물약국,경기도,성남시 중원구,금광동,,11 번지,산성대로372번길,14 번,37.44475147,127.158591,13180.0,경기도 성남시 중원구 산성대로372번길 14,경기도 성남시 중원구 금광동 11,031-743-0624,정보없음,연중무휴,"월~금 08:30~20:30, 토 08:30~20:00, 일 09:30~19:00, 법정공휴일 09:30~20:00",N,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,동물약국,없음,2022-11-30,,,,,,,
3470bf902eabf3445369,21세기 약국,반려동물업,반려의료,동물약국,경기도,광명시,철산동,,495-12 번지,오리로,853 번,37.47450425,126.866592,14252.0,경기도 광명시 오리로 853,경기도 광명시 철산동 495-12,02-897-7470,정보없음,"매주 일요일, 법정공휴일","월~금 09:00~19:30, 토 09:00~15:30",N,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,동물약국,없음,2022-11-30,,,,,,,
04b001971c8e598598f8,21세기 우리네약국,반려동물업,반려의료,동물약국,부산광역시,남구,문현동,,244-14 번지,수영로,43 번,35.13669418,129.072687,48421.0,부산광역시 남구 수영로 43,부산광역시 남구 문현동 244-14,051-646-8260,정보없음,"매주 일요일, 법정공휴일","월~금 09:00~19:30, 토 09:00~16:30",N,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,동물약국,없음,2022-11-30,,,,,,,
151f2876cc5b643a029a,21세기 정약국,반려동물업,반려의료,동물약국,경기도,수원시 권선구,세류동,,459-3 번지,정조로,523 번,37.25596473,127.011044,16587.0,경기도 수원시 권선구 정조로 523,경기도 수원시 권선구 세류동 459-3,031-234-3847,정보없음,"매주 토, 일, 법정공휴일",월~금 08:30~20:30,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,동물약국,없음,2022-11-30,,,,,,,
303a4241aa75341d2b16,21세기건강약국,반려동물업,반려의료,동물약국,광주광역시,북구,문흥동,,938-1 번지,면앙로32번길,1 번,35.17942758,126.915844,61188.0,광주광역시 북구 면앙로32번길 1,광주광역시 북구 문흥동 938-1,062-261-5627,정보없음,매주 일요일,"월~토 09:00~22:00, 법정공휴일 09:00~22:00",N,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,동물약국,없음,2022-11-30,,,,,,,
a4731bb627071fc64095,21세기동물병원,반려동물업,반려의료,동물병원,서울특별시,용산구,보광동,,259-1 번지,보광로,46 번,37.52831582,126.999196,4414.0,서울특별시 용산구 보광로 46,서울특별시 용산구 보광동 259-1,02-749-6750,https://blog.naver.com/vetsj21,매주 일요일,월~토 09:00~18:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,2025-03-24,,,,,,,
c4bdd6f47eef4b871856,21세기동물병원,반려동물업,반려의료,동물병원,전라남도,목포시,상동,,127-6 번지,영산로,503 번,34.81064748,126.417274,58643.0,전라남도 목포시 영산로 503,전라남도 목포시 상동 127-6,061-279-0006,정보없음,정보없음,정보없음,N,변동,Y,해당없음,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,2025-03-24,,,,,,,
a7ee8184998b988bdcc1,21세기맑은약국,반려동물업,반려의료,동물약국,인천광역시,부평구,삼산동,,465-1 번지,길주로,623 번,37.50788819,126.732054,21344.0,인천광역시 부평구 길주로 623,인천광역시 부평구 삼산동 465-1,032-363-2201,정보없음,매주 일요일,월~토 10:00~21:00,N,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,동물약국,없음,2022-11-30,,,,,,,
36bc314af2c91876655b,21세기새롬약국,반려동물업,반려의료,동물약국,경기도,고양시 덕양구,화정동,,969-1 번지,화정로,53 번,37.63522599,126.831888,10497.0,경기도 고양시 덕양구 화정로 53,경기도 고양시 덕양구 화정동 969-1,031-965-4677,정보없음,연중무휴,"월~금 09:00~21:00, 토 09:00~18:00, 일, 법정공휴일 09:00~21:00",Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,동물약국,없음,2022-11-30,,,,,,,
b4bdd7dcccf6502185b7,21세기약국,반려동물업,반려의료,동물약국,인천광역시,남동구,만수동,,72-38 번지,만수로,47 번,37.46054362,126.733548,21524.0,인천광역시 남동구 만수로 47,인천광역시 남동구 만수동 72-38,032-468-3737,정보없음,연중무휴,"월~금 08:30~20:00, 토 08:30~15:00, 일 10:00~20:00, 법정공휴일 10:00~20:00",N,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,동물약국,없음,2022-11-30,,,,,,,
122a617c748671f58d64,21세기약국,반려동물업,반려의료,동물약국,강원도,춘천시,후평동,,456-10 번지,보안길,64-1 번,37.88022669,127.750636,24302.0,강원도 춘천시 보안길 64-1,강원도 춘천시 후평동 456-10,033-255-0990,정보없음,"매주 일요일, 법정공휴일","월~금 09:00~19:00, 토 09:00~13:00",N,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,동물약국,없음,2022-11-30,,,,,,,
5b7fc01b0fd8178f855c,21세기약국,반려동물업,반려의료,동물약국,경상북도,구미시,송정동,,27-11 번지,송정대로,5 번,36.11678861,128.339361,39284.0,경상북도 구미시 송정대로 5,경상북도 구미시 송정동 27-11,054-452-2121,정보없음,연중무휴,"월~금 09:00~23:30, 토 09:00~23:30, 일 10:30~23:30, 법정공휴일 09:00~23:30",Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,동물약국,없음,2022-11-30,,,,,,,
e6ac5e0e06dbfe8a0304,21세기약국,반려동물업,반려의료,동물약국,부산광역시,동래구,온천동,,502-3 번지,중앙대로,1393 번,35.21170799,129.07748,47727.0,부산광역시 동래구 중앙대로 1393,부산광역시 동래구 온천동 502-3,051-668-2751,정보없음,연중무휴,"월~토 09:00~21:00, 일 11:00~21:00",N,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,동물약국,없음,2022-11-30,,,,,,,
9b743aa6fff19627c935,21세기약국,반려동물업,반려의료,동물약국,광주광역시,서구,풍암동,,423-2 번지,금화로,240 번,35.13364608,126.87483,62048.0,광주광역시 서구 금화로 240,광주광역시 서구 풍암동 423-2,062-652-8825,정보없음,연중무휴,"월~금 10:00~22:00, 토 10:00~22:00, 일 10:00~22:00, 법정공휴일 10:00~22:00",N,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,동물약국,없음,2022-11-30,,,,,,,
158bbcf59c9a8a182936,21세기종합동물병원,반려동물업,반려의료,동물병원,대구광역시,동구,효목동,,64-6 번지,아양로,216 번,35.8859379,128.636764,41168.0,대구광역시 동구 아양로 216,대구광역시 동구 효목동 64-6,053-959-0121,정보없음,정보없음,정보없음,N,변동,Y,해당없음,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,2025-03-24,,,,,,,
ff900244c0c35e7e6cfd,21세기종합동물병원,반려동물업,반려의료,동물병원,부산광역시,북구,덕천동,,383-3 번지,만덕대로,34 번,35.21075927,129.008783,46577.0,부산광역시 북구 만덕대로 34,부산광역시 북구 덕천동 383-3,051-365-0075,정보없음,연중무휴,"월~금 9:00~20:00, 토~일 9:00~18:00",Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,2025-03-24,,,,,,,
9ae2f23f1cac1b1a7983,21세기종합약국,반려동물업,반려의료,동물약국,전라북도,전주시 덕진구,금암동,,720-35 번지,기린대로,400-8 번,35.83802026,127.132838,54931.0,전라북도 전주시 덕진구 기린대로 400-8,전라북도 전주시 덕진구 금암동 720-35,063-274-4949,정보없음,"매주 일요일, 법정공휴일","월~금 09:00~19:00, 토 09:00~19:00",N,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,동물약국,없음,2022-11-30,,,,,,,
73e795754326e95acf37,21C 세계로약국,반려동물업,반려의료,동물약국,서울특별시,강서구,화곡동,,1064-4 번지,화곡로,173 번,37.54204619,126.840751,7702.0,서울특별시 강서구 화곡로 173,서울특별시 강서구 화곡동 1064-4,02-2607-0624,정보없음,연중무휴,"월~금 08:30~20:30, 토, 법정공휴일 08:30~20:00, 일 09:30~19:00",N,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,동물약국,없음,2022-11-30,,,,,,,
7d468e612e26542f05e6,21c청학보건당,반려동물업,반려의료,동물약국,경기도,남양주시,별내면,청학리,413 번지,청학로중앙길,9 번,37.7086949,127.118397,12084.0,경기도 남양주시 별내면 청학로중앙길 9,경기도 남양주시 별내면 청학리 413,031-821-1653,정보없음,연중무휴,월~일 법정공휴일 09:00~22:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,동물약국,없음,2022-11-30,,,,,,,
335b4593e577aabc0058,228약국,반려동물업,반려의료,동물약국,대구광역시,중구,성내1동,,66-1 번지,동성로2길,95 번,35.87018992,128.596901,41938.0,대구광역시 중구 동성로2길 95,대구광역시 중구 동성로2가 66-1,053-422-2228,정보없음,매주 일요일,"월~금 09:00~20:30, 토 09:00~17:00",Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,동물약국,없음,2022-11-30,,,,,,,
875ed616048a5d1af0e5,22세기 약국,반려동물업,반려의료,동물약국,대구광역시,수성구,범어동,,835 번지,달구벌대로,2396 번,35.85901475,128.624455,42117.0,대구광역시 수성구 달구벌대로 지하 2396,대구광역시 수성구 범어동 835,053-741-6467,정보없음,"매주 일요일, 법정공휴일","월~금 08:30~20:30, 토 09:00~19:00",N,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,동물약국,없음,2022-11-30,,,,,,,
554c7119c21da3735695,22세기 약국,반려동물업,반려의료,동물약국,전라남도,순천시,풍덕동,,300 번지,팔마로,222 번,34.93990631,127.508761,57993.0,전라남도 순천시 팔마로 222,전라남도 순천시 풍덕동 300,053-741-6467,정보없음,매주 일요일,"월~금 08:00~20:00, 토 09:00~19:00",N,변동,Y,해당없음,모두 가능,제한사항 없음,Y,N,동물약국,없음,2022-11-30,,,,,,,
521d519faaeab2938ac6,24시 강서 젠틀리동물의료센터,반려동물업,반려의료,동물병원,서울특별시,강서구,마곡동,,747 번지,마곡중앙1로,72 번,37.55904001,126.820063,7629.0,서울특별시 강서구 마곡중앙1로 72,서울특별시 강서구 마곡동 747,02-2662-8111,https://blog.naver.com/gentlelee2020,연중무휴,매일 00:00~24:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,2025-03-24,,,,,,,
a0bf5fd945b5e045485f,24시 건국 본 동물병원,반려동물업,반려의료,동물병원,인천광역시,미추홀구,주안동,,1464-22 번지,인하로,287 번,37.44824636,126.679984,22227.0,인천광역시 미추홀구 인하로 287,인천광역시 미추홀구 주안동 1464-22,032-864-0075,https://blog.naver.com/kvet95,연중무휴,매일 00:00~24:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,2025-03-24,,,,,,,
5b02448f362f7e572052,24시 굿케어동물의료센터,반려동물업,반려의료,동물병원,서울특별시,관악구,봉천동,,1673-21 번지,남부순환로,1861 번,37.48000009,126.956867,8739.0,서울특별시 관악구 남부순환로 1861,서울특별시 관악구 봉천동 1673-21,02-6956-2475,https://blog.naver.com/goodcare24,연중무휴,매일 00:00~24:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,2025-03-24,,,,,,,
0d3f848b7da7a9446aa5,24시 글로리 동물병원,반려동물업,반려의료,동물병원,서울특별시,금천구,독산동,,145-13 번지,시흥대로,483 번,37.47674386,126.898256,8531.0,서울특별시 금천구 시흥대로 483,서울특별시 금천구 독산동 145-13,02-855-8575,https://blog.naver.com/gloryamc,연중무휴,매일 00:00~24:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,2025-03-24,,,,,,,
ba00e9f3d353c5023120,24시 당신의 동물의료센터,반려동물업,반려의료,동물병원,경기도,수원시 장안구,천천동,,516 번지,천천로,100 번,37.30062503,126.983998,16326.0,경기도 수원시 장안구 천천로 100,경기도 수원시 장안구 천천동 516,031-268-6575,http://www.youramc.co.kr/,연중무휴,매일 00:00~24:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,2025-03-24,,,,,,,
c457286c944bd2721abd,24시 더나은 동물메디컬 센터,반려동물업,반려의료,동물병원,경상남도,거제시,고현동,,203-1 번지,동문천로,47 번,34.88298876,128.625276,53256.0,경상남도 거제시 동문천로 47,경상남도 거제시 고현동 203-1,055-716-1175,https://blog.naver.com/thenaeun75,연중무휴,"월~토 10:00~21:00, 일 11:00~21:00",Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,2025-03-24,,,,,,,
8308ef1b68076c86428b,24시 더블유 동물의료센터,반려동물업,반려의료,동물병원,인천광역시,서구,청라동,,157-21 번지,청라커낼로260번길,27 번,37.53238773,126.647045,22762.0,인천광역시 서구 청라커낼로260번길 27,인천광역시 서구 청라동 157-21,032-565-8270,https://www.instagram.com/24w_amc/,연중무휴,매일 10:00~21:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,2025-03-24,,,,,,,
1d6a46ad3358cb1ffe8c,24시 더원 동물병원,반려동물업,반려의료,동물병원,인천광역시,서구,원당동,,1043-9 번지,발산로,41 번,37.59299096,126.712012,22866.0,인천광역시 서구 발산로 41,인천광역시 서구 원당동 1043-9,032-569-6677,http://www.bobospet.com/home/index.php,연중무휴,매일 00:00~24:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,2025-03-24,,,,,,,
4637a09725e504c11e96,24시 더케어 동물의료센터,반려동물업,반려의료,동물병원,경기도,구리시,수택동,,561-2 번지,경춘로,294 번,37.60332974,127.147316,11930.0,경기도 구리시 경춘로 294,경기도 구리시 수택동 561-2,031-516-8585,http://thecare24.com/,연중무휴,매일 00:00~24:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,2025-03-24,,,,,,,
e21078274137f93906db,24시 동물응급의료센터,반려동물업,반려의료,동물병원,서울특별시,중랑구,중화동,,207 번지,망우로,247 번,37.59532179,127.079577,2117.0,서울특별시 중랑구 망우로 247,서울특별시 중랑구 중화동 207,02-494-7582,http://royalamc.com/,연중무휴,매일 00:00~24:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,2025-03-24,,,,,,,
34c58d128cac7044fdb3,24시 동탄 이음동물의료센터,반려동물업,반려의료,동물병원,경기도,화성시,산척동,,727-4 번지,동탄대로6길,15 번,37.16873878,127.108433,18501.0,경기도 화성시 동탄대로6길 15,경기도 화성시 산척동 727-4,031-831-3513,http://www.eumamc.com/,연중무휴,매일 00:00~24:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,Y,"일반동물병원, 강아지용품, 24시간",없음,2025-03-24,,,,,,,
3b635d56c62e9cdd6174,24시 라움동물의료센터,반려동물업,반려의료,동물병원,경기도,평택시,비전동,,1103-1 번지,비전5로,20-24 번,36.99887465,127.114167,17854.0,경기도 평택시 비전5로 20-24,경기도 평택시 비전동 1103-1,031-692-5022,https://blog.naver.com/dvmimk,연중무휴,매일 00:00~24:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,2025-03-24,,,,,,,
4e80e4cb076dff93a926,24시 라인동물의료센터,반려동물업,반려의료,동물병원,경기도,고양시 덕양구,삼송동,,291 번지,동송로,70 번,37.65267981,126.896113,10591.0,경기도 고양시 덕양구 동송로 70,경기도 고양시 덕양구 삼송동 291,02-381-2475,https://blog.naver.com/24lineamc,연중무휴,매일 00:00~24:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,2025-03-24,,,,,,,
05213423f4c022f57a4a,24시 리본동물의료센터,반려동물업,반려의료,동물병원,부산광역시,동래구,명륜동,,506-13 번지,충렬대로,194 번,35.20291604,129.080986,47815.0,부산광역시 동래구 충렬대로 194,부산광역시 동래구 명륜동 506-13,051-711-0006,https://blog.naver.com/rebornamc,매주 일요일,"월~금 09:30~19:00, 토 09:30~19:00",Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,2025-03-24,,,,,,,
ef78c58825d1a06e0201,24시 멍냥마켓 파장점,반려동물업,반려동물 서비스,반려동물용품,경기도,수원시 장안구,파장동,,572-56 번지,파장로,96 번,37.30752086,126.991039,16349.0,경기도 수원시 장안구 파장로 96,경기도 수원시 장안구 파장동 572-56,,정보없음,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,제한사항 없음,Y,N,"24시간, 무인, 반려동물용품",없음,2022-11-30,,,,,,,
b2a36b3d30f49e190013,24시 명동물메디컬센터,반려동물업,반려의료,동물병원,서울특별시,구로구,개봉동,,492 번지,남부순환로,775 번,37.50156787,126.847162,8236.0,서울특별시 구로구 남부순환로 775,서울특별시 구로구 개봉동 492,02-2619-5102,https://blog.naver.com/petsong1472,연중무휴,매일 00:00~24:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,2025-03-24,,,,,,,
e92b246fd2793e053029,24시 모두의동물병원,반려동물업,반려의료,동물병원,경기도,광명시,하안동,,51 번지,하안로,289 번,37.4616896,126.880189,14305.0,경기도 광명시 하안로 289,경기도 광명시 하안동 51,02-6951-2475,https://blog.naver.com/moduamc,연중무휴,매일 00:00~24:00,Y,변동,Y,해당없음,모두 가능,제한사항 없음,Y,Y,일반동물병원,없음,2025-03-24,,,,,,,
